,Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
8809,Department of Transportation,Monmouth Traffic Operations - Warren County,710 180th Avenue,Monmouth,61462,Warren,17,Cheri Bustos,94,Frese Randy E.,47,Jil Tracy,In Use,2015,2015,805,1,0,0,Storage,Utiility & Miscellan,
8814,Department of Transportation,Elgin Maint. Bldg. (Rt. 19/Shales)  - Kane County,525 Shale Parkway,Elgin,60120,Kane,8,Tammy Duckworth,43,Moeller Anna,22,Cristina Castro,In Use,2016,2016,3793,1,0,0,Storage,Storage,
8815,Department of Transportation,Alsip Maintenance Yard - Cook County,11801 S. Ridgeland Avenue,Worth,60482,Cook,1,Bobby L. Rush,35,Hurley Frances Ann,18,Bill Cunningham,In Use,2016,2016,3793,1,0,0,Storage,Storage,
8817,Department of Military Affairs,Sparta Armory - Randolph County,715 Industrial Drive,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,0,2017,512,2,0,0,Business,,
8819,Department of Military Affairs,Sparta Armory - Randolph County,715 Industrial Drive,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,0,2017,660,1,0,0,Assembly,,
8821,Southern Illinois University,Southern Illinois University - Carbondale,210 Physical Plant Drive,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2015,2015,7656,1,0,0,Storage,Storage,
8822,Department of Military Affairs,Rantoul Military Affairs,205 Dodge Avenue,Rantoul,61866,Champaign,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Progress,2016,2016,1400,1,0,0,Storage,Storage,
8824,Department of Transportation,Knoxville Maintenance Storage Facility - Knox County,1393 Knox Highway 9,Galesburg,61401,Knox,17,Cheri Bustos,74,Swanson Daniel,37,Chuck Weaver,In Use,2011,2011,1386,1,0,0,Storage,Utiility & Miscellan,
8831,Department of Transportation,Maryville,I-55/70,Maryville,62062,Madison,12,Mike Bost,112,Stuart Katie,56,William R. Haine,In Progress,0,2016,720,1,0,0,Business,,
8845,Department of Transportation,Morton Maintenance Storage Facility - Tazewell County,1971 Morton Avenue,Morton,61550,Tazewell,18,Darin M. LaHood,88,Sommer Keith P.,44,William E. Brady,In Progress,2018,2018,2250,1,0,0,Storage,Storage,
8846,Department of Transportation,Dan Ryan Field Office,900 S. Desplaines St.,Chicago,60607,Cook,7,Danny K. Davis,9,Turner Arthur L.,5,Patricia Van Pelt,In Progress,2018,2018,12000,1,0,0,Business,Storage,
8848,Department of Transportation,Wenona Maintenance Storage Facility - Marshall County,3095 County Rd 800 North,Wenona,61377,Marshall,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,2016,2016,1152,1,0,0,Storage,Storage,
8849,Department of Military Affairs,Galesburg Readiness Center - Knox County,362 N. Linwood Road,Galesburg,61401,Knox,17,Cheri Bustos,74,Swanson Daniel,37,Chuck Weaver,In Progress,0,2018,3200,1,0,0,Storage,Storage,
8850,Department of Transportation,Aledo Salt Storage Building - Mercer County,1610 3rd Street,Aledd,61231,Mercer,17,Cheri Bustos,74,Swanson Daniel,37,Chuck Weaver,In Progress,2018,2018,1455,1,0,0,Storage,Storage,
8851,Department of Transportation,Biggsville - Henderson County,Route 1,Biggsville,61418,Henderson,17,Cheri Bustos,94,Frese Randy E.,47,Jil Tracy,In Progress,2018,2018,1455,1,0,0,Storage,Storage,
8852,Department of Transportation,Decatur Maintenance Facility - Macon County,4142 N. Westlawn Avenue,Decatur,62526,Macon,4,Luis Gutierrez,4,Soto Cynthia,2,Omar Aquino,In Progress,2017,2017,6720,1,0,0,Storage,Utiility & Miscellan,
8853,Department of Transportation,Marion Maintenance Facility - Williamson County,Interstate 57 Milepost 46,Marion,62959,Williamson,12,Mike Bost,117,Severin Dave,59,Dale Fowler,In Progress,2019,2019,760,1,0,0,Business,Business,
8854,Department of Transportation,Marion Maintenance Facility - Williamson County,Intersate 57 Milepost 46,Marion,62959,Williamson,12,Mike Bost,117,Severin Dave,59,Dale Fowler,In Progress,2019,2019,760,1,0,0,Business,Business,
8861,Department of Military Affairs,Peoria Army Aviation Support Facility,2323 S. Airport Rd,Peoria,61607,Peoria,17,Cheri Bustos,92,Gordon-Booth Jehan,46,David Koehler,In Progress,0,2017,288,1,0,0,Utiility & Miscellan,Utiility & Miscellan,
